index,Output,Input
92,Uh-oh! Spoilers!,"You don't know me! ' Nice, Mrs. Pancakes real nice. You don't know me! Come on, let's just get over there and deal with this thing. W-we're gonna incept your teacher. You're frustrating me. Are you listening to me, Morty? Homework is stupid. The whole point is to get less of it. Geez, Rick, in the time it took you to make this thing, couldn't you have just, you know, helped me with my homework? "
93,I'm a full season behind.,"Uh-oh! Spoilers! You don't know me! ' Nice, Mrs. Pancakes real nice. You don't know me! Come on, let's just get over there and deal with this thing. W-we're gonna incept your teacher. You're frustrating me. Are you listening to me, Morty? Homework is stupid. The whole point is to get less of it. "
94,"It's about to get a whole lot weirder, Morty.","Wow, Rick, I can't believe we're sitting around, standing around in Mr. Goldenfold's house. It's really weird. I'm a full season behind. Uh-oh! Spoilers! You don't know me! ' Nice, Mrs. Pancakes real nice. You don't know me! "
95,"All right, Morty, time to make our move.","Oh, I think you've had enough, sir. I'll take two. Wheat thins. Wheat thins. It's about to get a whole lot weirder, Morty. Wow, Rick, I can't believe we're sitting around, standing around in Mr. Goldenfold's house. It's really weird. I'm a full season behind. "
96,Allahu  akbar! We're gonna take control of this plane! We're gonna 9/11 it unless Morty Smith gets better grades in math!,"You better stop with that. Oh, jiggle it now. No, you didn't. Make it bounce. All right, Morty, time to make our move. Oh, I think you've had enough, sir. "
97,"Hey! I said nobody move, buddy!","Allahu  akbar! We're gonna take control of this plane! We're gonna 9/11 it unless Morty Smith gets better grades in math! You better stop with that. Oh, jiggle it now. No, you didn't. Make it bounce. All right, Morty, time to make our move. "
98,"Take cover, Morty!","The name's not buddy. It's Goldenfold. Nice to wheat you! Hey! I said nobody move, buddy! Allahu  akbar! We're gonna take control of this plane! We're gonna 9/11 it unless Morty Smith gets better grades in math! You better stop with that. Oh, jiggle it now. No, you didn't. "
99,"Goldenfold's got more control here than I anticipated. I mean, the guy teaches high-school math.  I didn't take him for an active dreamer. We've got to take him out so he wakes up, Morty but we can't get killed. If you get killed in someone else's dream, you die for real, Morty.","Ooohhh! AAAAAAAAAAAAAAAAAAAAAAAHHHHHHHHHHHHHHHH!!!!!!!!!!!!!!!!!!! Take cover, Morty! The name's not buddy. It's Goldenfold. Nice to wheat you! Hey! I said nobody move, buddy! Allahu  akbar! We're gonna take control of this plane! We're gonna 9/11 it unless Morty Smith gets better grades in math! "
100,"Don't be a baby! You avoid getting shot in real life all the time, Morty. Just do the same thing here, and we'll be fine!","What?! Are you kidding me?! Ohhhhhh! Goldenfold's got more control here than I anticipated. I mean, the guy teaches high-school math.  I didn't take him for an active dreamer. We've got to take him out so he wakes up, Morty but we can't get killed. If you get killed in someone else's dream, you die for real, Morty. Ooohhh! AAAAAAAAAAAAAAAAAAAAAAAHHHHHHHHHHHHHHHH!!!!!!!!!!!!!!!!!!! Take cover, Morty! The name's not buddy. It's Goldenfold. Nice to wheat you! "
101,"Goldenfold, we're coming out! We just want to talk!","Hmm? I should call Bob Saget. Is that still a thing? He's saying ""I love Obama"".  So cute! I'm posting this  online, like, right now. Ooooyayawawa! Aw, he's saying ""I love lasagna"". Aaaawwaaaaawaawa! "
102,Because we're both rational adults that don't want anything bad to happen. And because I have a human shield.,"Goldenfold, we're coming out! We just want to talk! Hmm? I should call Bob Saget. Is that still a thing? He's saying ""I love Obama"".  So cute! I'm posting this  online, like, right now. Ooooyayawawa! Aw, he's saying ""I love lasagna"". "
103,"Oh, no, Morty. His subconscious is panicking.","Mrs. Pancakes! AAAAAAAAHHHH!!!!! Because we're both rational adults that don't want anything bad to happen. And because I have a human shield. Goldenfold, we're coming out! We just want to talk! Hmm? I should call Bob Saget. Is that still a thing? He's saying ""I love Obama"".  So cute! I'm posting this  online, like, right now. "
104,Whoa! Whoa! Whoa! Whoooooaaaa! Whoa! Whoa! Whoooooaaaa!,"Oh, no, Morty. His subconscious is panicking. Mrs. Pancakes! AAAAAAAAHHHH!!!!! Because we're both rational adults that don't want anything bad to happen. And because I have a human shield. Goldenfold, we're coming out! We just want to talk! Hmm? I should call Bob Saget. Is that still a thing? "
105,"Relax, Morty. Look! Mrs. Pancakes has a parachute. Come on!","AAAAAAAAAAAAAAAAAAAAAAAAHHHHHHHHHH!!!!!!!!!! Whooooa! Whoooooooa! Whoa! Whooooooooaaaaa! Whoa! Whoa! Whoa! Whoooooaaaa! Whoa! Whoa! Whoooooaaaa! Oh, no, Morty. His subconscious is panicking. Mrs. Pancakes! AAAAAAAAHHHH!!!!! Because we're both rational adults that don't want anything bad to happen. And because I have a human shield. "
106,"Pretty concise, Morty. Looks like we've merely prolonged the inevitable. That's it, Morty! Prolonging the inevitable! Listen, if we go into Mrs. Pancakes' dream, everything will go 100 times slower, Morty. That'll buy us some time to figure this out!","Oh, no, Rick, look! Goldenfold landed the plane, and he's created a  mechanical arm to pluck Mrs. Pancakes out of the air while he lets us fall - into a giant vat of lava! Hey, you don't know me! Relax, Morty. Look! Mrs. Pancakes has a parachute. Come on! AAAAAAAAAAAAAAAAAAAAAAAAHHHHHHHHHH!!!!!!!!!! Whooooa! Whoooooooa! Whoa! Whooooooooaaaaa! Whoa! Whoa! Whoa! Whoooooaaaa! Whoa! Whoa! Whoooooaaaa! "
107,"All right, let's go.","You don't know m- Pretty concise, Morty. Looks like we've merely prolonged the inevitable. That's it, Morty! Prolonging the inevitable! Listen, if we go into Mrs. Pancakes' dream, everything will go 100 times slower, Morty. That'll buy us some time to figure this out! Oh, no, Rick, look! Goldenfold landed the plane, and he's created a  mechanical arm to pluck Mrs. Pancakes out of the air while he lets us fall - into a giant vat of lava! Hey, you don't know me! Relax, Morty. Look! Mrs. Pancakes has a parachute. Come on! AAAAAAAAAAAAAAAAAAAAAAAAHHHHHHHHHH!!!!!!!!!! "
108,"Don't judge, Morty.","Oh, man, Rick, this is pretty weird. All right, let's go. You don't know m- Pretty concise, Morty. Looks like we've merely prolonged the inevitable. That's it, Morty! Prolonging the inevitable! Listen, if we go into Mrs. Pancakes' dream, everything will go 100 times slower, Morty. That'll buy us some time to figure this out! Oh, no, Rick, look! Goldenfold landed the plane, and he's created a  mechanical arm to pluck Mrs. Pancakes out of the air while he lets us fall - into a giant vat of lava! Hey, you don't know me! "
109,"Whoa, whoa, Morty, the trick to incepting is making people think they came up with the idea. Listen to me. If we're gonna incept Mrs. Pancakes, we have to blend. I'll talk to you after lunch.","Okay. All right, well Look, Mrs. Pancakes is right over there. I'll just go ask her to tell goldenfold not to kill us when she wakes up. Don't judge, Morty. Oh, man, Rick, this is pretty weird. All right, let's go. You don't know m- Pretty concise, Morty. Looks like we've merely prolonged the inevitable. That's it, Morty! Prolonging the inevitable! Listen, if we go into Mrs. Pancakes' dream, everything will go 100 times slower, Morty. That'll buy us some time to figure this out! "
110,"Whoa, whoa, whoa! What's the matter with you, Morty? Calm down! You're kind of killing the vibe in here.","Ohh! Oh! Gross! Gross! Hey, there, stranger. What do you think of these things? Whoa! No, I'm okay. No, thanks! I'm sorry. No, no. "
111,"Time to go another dream deep, Morty!","Can you blame him? Come on, old man, little boy. Let's make an inter-generational sandwich. It's Summer! Aw, geez. Whoa, whoa, whoa! What's the matter with you, Morty? Calm down! You're kind of killing the vibe in here. Ohh! Oh! Gross! Gross! Hey, there, stranger. What do you think of these things? Whoa! "
112,"Geez, I don't know, Morty. Wha-what do you want from me?","What the hell? Why would Mr. Goldenfold's dream version of Mrs. Time to go another dream deep, Morty! Can you blame him? Come on, old man, little boy. Let's make an inter-generational sandwich. It's Summer! Aw, geez. Whoa, whoa, whoa! What's the matter with you, Morty? Calm down! You're kind of killing the vibe in here. Ohh! Oh! Gross! Gross! "
113,"Oh, here we go!","Welcome to your nightmare, bitch! RAAAAAWWWRRR! Geez, I don't know, Morty. Wha-what do you want from me? What the hell? Why would Mr. Goldenfold's dream version of Mrs. Time to go another dream deep, Morty! Can you blame him? Come on, old man, little boy. Let's make an inter-generational sandwich. It's Summer! Aw, geez. "
114,Looks like some sort of legally safe knock-off of an '80s horror character with miniature swords for fingers instead of knives.,"Ooooooohhhhh! Holy crap! Oh, here we go! Welcome to your nightmare, bitch! RAAAAAWWWRRR! Geez, I don't know, Morty. Wha-what do you want from me? What the hell? Why would Mr. Goldenfold's dream version of Mrs. Time to go another dream deep, Morty! "
115,"Holy crap! We have to escape into someone else's dreams, Morty!","Aw! Oh, my God! He recognizes the other dogs on TV. I don't know. It's Indian giving. Why not? Whoa, dad, you can't, like, endow a creature with sentience and then rip it away. Okay, yeah. I get what Beth was talking about. Fun's over. Snuffles want to be understood. Snuffles need to be understood. "
116,The little girl!,"Oh, man, oh, man, oh, man! Holy crap! We have to escape into someone else's dreams, Morty! Aw! Oh, my God! He recognizes the other dogs on TV. I don't know. It's Indian giving. Why not? Whoa, dad, you can't, like, endow a creature with sentience and then rip it away. "
117,"Are you kidding me? This again? Oh, man, it looks like we've hit dream bedrock here, Morty.","Huh? The little girl! Oh, man, oh, man, oh, man! Holy crap! We have to escape into someone else's dreams, Morty! Aw! Oh, my God! He recognizes the other dogs on TV. I don't know. It's Indian giving. "
118,"Holy crap, Morty. He can travel through dreams. He can travel through dreams! We're so screwed!","Ohhhh! Nothing but fear from here on out, bitch! Oh, geez, Rick. W-w-whoa, this isn't good. Are you kidding me? This again? Oh, man, it looks like we've hit dream bedrock here, Morty. Huh? The little girl! "
119,What are we here for again? Incepting? We're trying to incept-,"You will walk when it is time to walk. Yeah. Totally. Let's go. Jerry, come to rub my face in urine again? Hey. Oh, wow. Okay, is is is everything okay in here? Uhhh ... Tell me, Summer, if a human was born with stumpy legs, would they breed it with another deformed human and put their children on display like the dachshund? "
120,"Oh, yeah.","We're trying to incept me to get an ""A"" in math? What are we here for again? Incepting? We're trying to incept- You will walk when it is time to walk. Yeah. Totally. Let's go. Jerry, come to rub my face in urine again? Hey. Oh, wow. Okay, is is is everything okay in here? "
121,"Hold on, Morty. Y-you know what? He keeps saying we can run but we can hide. I say we try hiding.","You can run, but you can't hide, bitch! Man, he sure says ""bitch"" a lot! Ooooooaaahhh! Buckle up, bitch! Oh, yeah. We're trying to incept me to get an ""A"" in math? "
122,"Yeah, well, since when are we taking this guy's advice on anything?","But that's the opposite of what- Hold on, Morty. Y-you know what? He keeps saying we can run but we can hide. I say we try hiding. You can run, but you can't hide, bitch! Man, he sure says ""bitch"" a lot! Ooooooaaahhh! Buckle up, bitch! "
123,Worst-case scenario we're back to running.,"Hey, you know what? You got a really good point there, Rick. Like, if the truth was that we could hide, it's not like he'd be sharing that information with us, you know? I-I-I think it's a good idea, Rick. Yeah, well, since when are we taking this guy's advice on anything? But that's the opposite of what- Hold on, Morty. Y-you know what? He keeps saying we can run but we can hide. I say we try hiding. You can run, but you can't hide, bitch! Man, he sure says ""bitch"" a lot! "
124,"Thanks, Morty. Yeah, it's nice to be on the same page every once in a while.","Wow, you know what? I mean, it looks like we could have just hid this whole time. Boy, Rick, that was some good thinking. Worst-case scenario we're back to running. Hey, you know what? You got a really good point there, Rick. Like, if the truth was that we could hide, it's not like he'd be sharing that information with us, you know? I-I-I think it's a good idea, Rick. Yeah, well, since when are we taking this guy's advice on anything? But that's the opposite of what- Hold on, Morty. Y-you know what? He keeps saying we can run but we can hide. I say we try hiding. "
125,"Oh, this is perfect, Morty. Look at that. He's getting sleepy. Just a little bit longer before he calls it a day. That's when we make our move.","You can run But you can't hide! Thanks, Morty. Yeah, it's nice to be on the same page every once in a while. Wow, you know what? I mean, it looks like we could have just hid this whole time. Boy, Rick, that was some good thinking. Worst-case scenario we're back to running. Hey, you know what? You got a really good point there, Rick. Like, if the truth was that we could hide, it's not like he'd be sharing that information with us, you know? I-I-I think it's a good idea, Rick. Yeah, well, since when are we taking this guy's advice on anything? "
126,"Morty, this is perfect. After a little scary coitus, they should be fast asleep and then we'll incept him.","Yeah, I know, I know. I shouldn't take my anger out on you or Scary Brandon. I love you, Melissa. I don't want to talk about it! Huh! You think you can control me with a haircut? You're being very aggressive, Jerry. Perhaps tomorrow Dr. Scraps will solve that problem with a bit of surgery. Well, I'm not calling him that. That's ridiculous. Dad, he wants to be called snowball. "
127,Looks like scary Terry's having a nightmare.,"Morty, this is perfect. After a little scary coitus, they should be fast asleep and then we'll incept him. Yeah, I know, I know. I shouldn't take my anger out on you or Scary Brandon. I love you, Melissa. I don't want to talk about it! Huh! You think you can control me with a haircut? You're being very aggressive, Jerry. Perhaps tomorrow Dr. Scraps will solve that problem with a bit of surgery. Well, I'm not calling him that. That's ridiculous. "
128,"Yeah, this is a bunch of bullcrap. Who cares what stupid pun you make when you kill someone? Why don't you let the poor guy say whatever he wants?","Oh, uh, um ... ""Bitch."" Oh, no! I'm late to class, bitch! Oh, no! I'm not wearing any pants! Oh, boy, Rick. I can only imagine what horrible things must, you know scare Scary Terry. Looks like scary Terry's having a nightmare. Morty, this is perfect. After a little scary coitus, they should be fast asleep and then we'll incept him. Yeah, I know, I know. I shouldn't take my anger out on you or Scary Brandon. I love you, Melissa. "
129,"You're putting too much pressure on yourself, scary Terry. You know, I mean, y-you're perfectly scary enough as it is.","Yeah, this is a bunch of bullcrap. Who cares what stupid pun you make when you kill someone? Why don't you let the poor guy say whatever he wants? Oh, uh, um ... ""Bitch."" Oh, no! I'm late to class, bitch! Oh, no! I'm not wearing any pants! Oh, boy, Rick. I can only imagine what horrible things must, you know scare Scary Terry. Looks like scary Terry's having a nightmare. Morty, this is perfect. After a little scary coitus, they should be fast asleep and then we'll incept him. "
130,"You're our boy, dawg. Don't even trip.","You don't need to say anything. We got you, dawg. Aww, bitch. I don't know what to say. Hey, yo, scary T., don't even trip about your pants dawg. Here's a pair on us, fool. You're putting too much pressure on yourself, scary Terry. You know, I mean, y-you're perfectly scary enough as it is. Yeah, this is a bunch of bullcrap. Who cares what stupid pun you make when you kill someone? Why don't you let the poor guy say whatever he wants? Oh, uh, um ... ""Bitch."" "
131,"As a matter of fact, Terry, there is something you could help us with.","If you guys ever need anything, just say the word. Oh, hey, it's you guys! You're our boy, dawg. Don't even trip. You don't need to say anything. We got you, dawg. Aww, bitch. I don't know what to say. Hey, yo, scary T., don't even trip about your pants dawg. Here's a pair on us, fool. "
132,"Out of the frying pan dot, dot, dot, huh, Morty?","What the hell? Holy crap! God damn! I know one thing for sure I'm giving Morty an ""A"" in math, and that's my idea. That is an original thought. This is because you don't give Morty Smith good grades, bitch! Sex is sacred! These halves don't belong together, bitch! I always hated that song! "
133,"Well, it's possible that your dog became self-aware and made modifications on the cognition amplifier, then turned on Jerry, Beth, and Summer after learning about humanity's cruel subjugation of his species, but your guess is as good as mine, Morty.","Oh, man, what's going on? Out of the frying pan dot, dot, dot, huh, Morty? What the hell? Holy crap! God damn! I know one thing for sure I'm giving Morty an ""A"" in math, and that's my idea. That is an original thought. This is because you don't give Morty Smith good grades, bitch! Sex is sacred! "
134,"Psst, Beth, Jerry, Summer.","This is why I choose to get C's. I can't believe how mean snuffles got just because he's smart. Well, it's possible that your dog became self-aware and made modifications on the cognition amplifier, then turned on Jerry, Beth, and Summer after learning about humanity's cruel subjugation of his species, but your guess is as good as mine, Morty. Oh, man, what's going on? Out of the frying pan dot, dot, dot, huh, Morty? What the hell? "
135,If we hurry we can set up camp in a sewer tunnel or something before the dogs completely take over.,"- Dad! - Rick! Psst, Beth, Jerry, Summer. This is why I choose to get C's. I can't believe how mean snuffles got just because he's smart. Well, it's possible that your dog became self-aware and made modifications on the cognition amplifier, then turned on Jerry, Beth, and Summer after learning about humanity's cruel subjugation of his species, but your guess is as good as mine, Morty. Oh, man, what's going on? "
136,"It's all over, Jerry. The dogs are on a path to total world domination. But, hey, at least they know not to piss on your carpet, right?","Whoa, whoa, whoa. We're not going anywhere. This is my house. I'm not abandoning it. If we hurry we can set up camp in a sewer tunnel or something before the dogs completely take over. - Dad! - Rick! Psst, Beth, Jerry, Summer. This is why I choose to get C's. I can't believe how mean snuffles got just because he's smart. "
137,"Ooh, great plan, Jerry.","Bad person. Bad. Wait a minute. I have an idea. Gentlemen, a moment of your time.  See that? I'm peeing all over your special guns. That means I own them. It's all over, Jerry. The dogs are on a path to total world domination. But, hey, at least they know not to piss on your carpet, right? Whoa, whoa, whoa. We're not going anywhere. This is my house. I'm not abandoning it. If we hurry we can set up camp in a sewer tunnel or something before the dogs completely take over. - Dad! - Rick! "
138,"No, no, no, I was just playing dead. Good news, though, Morty. This whole thing's gonna be over really soon.","Mmm. Thank you, Fido. Rick! I thought you were dead! Begin phase two. Th-thanks, snuffles. Bring the boy to me. You were always kind to me, Morty. That's why I will leave you with your testicles. From now on, you will be my best friend and live by my side. Ooh, great plan, Jerry. Bad person. Bad. "
139,"It's a dream, Morty. We're in your dog's dream. The night the dogs captured us, after you cried and crapped your pants, we all went to sleep. Then I used my dream inceptors to put the two of us inside snuffles' dream.","What? No, no, no, I was just playing dead. Good news, though, Morty. This whole thing's gonna be over really soon. Mmm. Thank you, Fido. Rick! I thought you were dead! Begin phase two. Th-thanks, snuffles. Bring the boy to me. You were always kind to me, Morty. That's why I will leave you with your testicles. From now on, you will be my best friend and live by my side. "
140,"It's been six hours. Dreams move one one-hundredth the speed of reality, and dog time is one-seventh human time. So, you know, every day here is like a minute. It's like ""Inception,"" Morty, so if it's confusing and stupid, then so is everyone's favorite movie.","But I-it's been like a whole year! It's a dream, Morty. We're in your dog's dream. The night the dogs captured us, after you cried and crapped your pants, we all went to sleep. Then I used my dream inceptors to put the two of us inside snuffles' dream. What? No, no, no, I was just playing dead. Good news, though, Morty. This whole thing's gonna be over really soon. Mmm. Thank you, Fido. Rick! I thought you were dead! Begin phase two. "
141,"No, no, that happened before you went to sleep, Morty. You're sleeping in your crap right now. Out of all the things that happened to you, that was the only real thing that, you know, is that you crapped your pants. I mean, it's a mess out there. I got some on my hands, Morty, and then I got it on the dream inceptor, and a piece fell in my mouth.","Aw, man. I really liked this life. Well, at least I didn't really crap my pants. It's been six hours. Dreams move one one-hundredth the speed of reality, and dog time is one-seventh human time. So, you know, every day here is like a minute. It's like ""Inception,"" Morty, so if it's confusing and stupid, then so is everyone's favorite movie. But I-it's been like a whole year! It's a dream, Morty. We're in your dog's dream. The night the dogs captured us, after you cried and crapped your pants, we all went to sleep. Then I used my dream inceptors to put the two of us inside snuffles' dream. What? No, no, no, I was just playing dead. Good news, though, Morty. This whole thing's gonna be over really soon. "
142,"Look, d-d-d-don't worry about it, Morty. Here, here take these, Morty. Take these.","Aw, man, geez! Seriously? No, no, that happened before you went to sleep, Morty. You're sleeping in your crap right now. Out of all the things that happened to you, that was the only real thing that, you know, is that you crapped your pants. I mean, it's a mess out there. I got some on my hands, Morty, and then I got it on the dream inceptor, and a piece fell in my mouth. Aw, man. I really liked this life. Well, at least I didn't really crap my pants. It's been six hours. Dreams move one one-hundredth the speed of reality, and dog time is one-seventh human time. So, you know, every day here is like a minute. It's like ""Inception,"" Morty, so if it's confusing and stupid, then so is everyone's favorite movie. But I-it's been like a whole year! It's a dream, Morty. We're in your dog's dream. The night the dogs captured us, after you cried and crapped your pants, we all went to sleep. Then I used my dream inceptors to put the two of us inside snuffles' dream. "
143,Close. It's gonna make your kidneys shut down.,"Are these pills supposed to wake me up, or something? Look, d-d-d-don't worry about it, Morty. Here, here take these, Morty. Take these. Aw, man, geez! Seriously? No, no, that happened before you went to sleep, Morty. You're sleeping in your crap right now. Out of all the things that happened to you, that was the only real thing that, you know, is that you crapped your pants. I mean, it's a mess out there. I got some on my hands, Morty, and then I got it on the dream inceptor, and a piece fell in my mouth. Aw, man. I really liked this life. Well, at least I didn't really crap my pants. It's been six hours. Dreams move one one-hundredth the speed of reality, and dog time is one-seventh human time. So, you know, every day here is like a minute. It's like ""Inception,"" Morty, so if it's confusing and stupid, then so is everyone's favorite movie. "
144,"It's necessary for the plan, Morty. Don't even trip, dawg.","What?! Close. It's gonna make your kidneys shut down. Are these pills supposed to wake me up, or something? Look, d-d-d-don't worry about it, Morty. Here, here take these, Morty. Take these. Aw, man, geez! Seriously? No, no, that happened before you went to sleep, Morty. You're sleeping in your crap right now. Out of all the things that happened to you, that was the only real thing that, you know, is that you crapped your pants. I mean, it's a mess out there. I got some on my hands, Morty, and then I got it on the dream inceptor, and a piece fell in my mouth. "
145,"I think it will be great, Morty. You know it could be developed in-into a very satisfying project for people of all ages. I mean, I'd watch it, Morty, for at least 11 minutes a pop. You know, may-maybe they'll do it board-driven.","Wow! A whole world populated by intelligent dogs. I wonder what it'll be like, Rick. Oh, Jerry. You mean because it had dogs in it. I'm sorry. It's just like the end of ""Old Yeller. Jerry? You can call me snuffles, Morty, and I'm going to miss you, too, very much. I'm gonna miss you, snowball. "
146,"What do you know, Morty? What do you know?","You know, that's a real comforting idea, Rick. I think it will be great, Morty. You know it could be developed in-into a very satisfying project for people of all ages. I mean, I'd watch it, Morty, for at least 11 minutes a pop. You know, may-maybe they'll do it board-driven. Wow! A whole world populated by intelligent dogs. I wonder what it'll be like, Rick. Oh, Jerry. You mean because it had dogs in it. I'm sorry. It's just like the end of ""Old Yeller. Jerry? "
147,"Oooh! This is how you dream, bitch.","What do you know, Morty? What do you know? You know, that's a real comforting idea, Rick. I think it will be great, Morty. You know it could be developed in-into a very satisfying project for people of all ages. I mean, I'd watch it, Morty, for at least 11 minutes a pop. You know, may-maybe they'll do it board-driven. Wow! A whole world populated by intelligent dogs. I wonder what it'll be like, Rick. Oh, Jerry. You mean because it had dogs in it. I'm sorry. It's just like the end of ""Old Yeller. "
148,"I should get her pregnant, then she'll have to marry me.","Ahhh, well,  I remember feeling that way about a young lady named your mom, and that's not an urban dis, your mom was my Jessica. I remember the first time I saw her, I thought... You're missing the point, Dad. I don't want girls, I want Jessica! Eh, Try not to worry about it, Morty. You're a good kid, and there's not a premium on that right now, but you'll be getting girls sometime after Brad's out of shape. I throw balls far. You want good words, date a languager. Gee, thanks, Brad. Dude, Stay in your league! Look at how hot she is! You don't see me going to a bigger school, in a wealthier district and hittin' on their prettiest girl! "
149,"Sorry, please proceed with your story about banging my daughter in high school.  I'm not sure you want to take romantic advice from this guy, Morty, his marriage is hanging from a thread.","I beg your pardon, Rick, INAPPROPRIATE. I should get her pregnant, then she'll have to marry me. Ahhh, well,  I remember feeling that way about a young lady named your mom, and that's not an urban dis, your mom was my Jessica. I remember the first time I saw her, I thought... You're missing the point, Dad. I don't want girls, I want Jessica! Eh, Try not to worry about it, Morty. You're a good kid, and there's not a premium on that right now, but you'll be getting girls sometime after Brad's out of shape. I throw balls far. You want good words, date a languager. "
150,"Jerry, it's your house, whatever you say it is is how it is,  but I think a blind man could see that Beth is looking for the door. I barely have a reason to care and even I noticed.","My marriage is fine, thank you. Sorry, please proceed with your story about banging my daughter in high school.  I'm not sure you want to take romantic advice from this guy, Morty, his marriage is hanging from a thread. I beg your pardon, Rick, INAPPROPRIATE. I should get her pregnant, then she'll have to marry me. Ahhh, well,  I remember feeling that way about a young lady named your mom, and that's not an urban dis, your mom was my Jessica. I remember the first time I saw her, I thought... You're missing the point, Dad. I don't want girls, I want Jessica! "
151,"Listen, Morty, I hate to break it to you, but what people call ""love"" is a chemical reaction that compels animals to breed. It hits hard, Morty, then it slowly fades, leaving you stranded in a failing marriage. I did it, your parents are gonna do it. Break the cycle, Morty. Rise above. Focus on science.","Come on, Rick, don't talk about my parents like that. Jerry, it's your house, whatever you say it is is how it is,  but I think a blind man could see that Beth is looking for the door. I barely have a reason to care and even I noticed. My marriage is fine, thank you. Sorry, please proceed with your story about banging my daughter in high school.  I'm not sure you want to take romantic advice from this guy, Morty, his marriage is hanging from a thread. I beg your pardon, Rick, INAPPROPRIATE. I should get her pregnant, then she'll have to marry me. "
152,"Morty, hand me that screwdriver, huh?  I'm almost finished making my ionic defibulizer, Morty. It's gonna be great.","Yeah, I'm just going to...check on your mom. Alright, well, I'm gonna go get dressed for the dance. Listen, Morty, I hate to break it to you, but what people call ""love"" is a chemical reaction that compels animals to breed. It hits hard, Morty, then it slowly fades, leaving you stranded in a failing marriage. I did it, your parents are gonna do it. Break the cycle, Morty. Rise above. Focus on science. Come on, Rick, don't talk about my parents like that. Jerry, it's your house, whatever you say it is is how it is,  but I think a blind man could see that Beth is looking for the door. I barely have a reason to care and even I noticed. My marriage is fine, thank you. "
153,"Morty, that's such a poor use of my time, it's beneath me. Hand me the screwdriver.","Hey, listen, Rick. You know how you said that, you know... love is a chemical and all that stuff from earlier?  Well, I was thinkn', you know, www... could you make some sort of chemical thing happen inside of Jessica's mind, you know, so where she falls in love with me and all that sort of thing, you know, like maybe make some sort of love potion or something? Morty, hand me that screwdriver, huh?  I'm almost finished making my ionic defibulizer, Morty. It's gonna be great. Yeah, I'm just going to...check on your mom. Alright, well, I'm gonna go get dressed for the dance. Listen, Morty, I hate to break it to you, but what people call ""love"" is a chemical reaction that compels animals to breed. It hits hard, Morty, then it slowly fades, leaving you stranded in a failing marriage. I did it, your parents are gonna do it. Break the cycle, Morty. Rise above. Focus on science. Come on, Rick, don't talk about my parents like that. "
154,"You're growing up fast, Morty. You're growing into a real big thorn straight up into my ass!  Listen, this is called oxytocin. I extracted it from a vole. You know what a VOLE is, Morty, you know what a vole is?","YOU KNOW WHAT, NO RICK! I'M NOT GONNA HAND YOU THE SCREWDRIVER! Uh, I'm never gonna hand you anything ever again, Rick.  I'm always helping you with this and that and the other thing. Www...what about me, Rick? Www... why can't you just help me out once, once, for once? Morty, that's such a poor use of my time, it's beneath me. Hand me the screwdriver. Hey, listen, Rick. You know how you said that, you know... love is a chemical and all that stuff from earlier?  Well, I was thinkn', you know, www... could you make some sort of chemical thing happen inside of Jessica's mind, you know, so where she falls in love with me and all that sort of thing, you know, like maybe make some sort of love potion or something? Morty, hand me that screwdriver, huh?  I'm almost finished making my ionic defibulizer, Morty. It's gonna be great. Yeah, I'm just going to...check on your mom. Alright, well, I'm gonna go get dressed for the dance. "
155,"It's a, it's a rodent that mates for life, Morty. This is the chemical release in the mammal's brain,  ...that makes it fall in love. Alright Morty, I just gotta  combine it with some of your DNA.","You're growing up fast, Morty. You're growing into a real big thorn straight up into my ass!  Listen, this is called oxytocin. I extracted it from a vole. You know what a VOLE is, Morty, you know what a vole is? YOU KNOW WHAT, NO RICK! I'M NOT GONNA HAND YOU THE SCREWDRIVER! Uh, I'm never gonna hand you anything ever again, Rick.  I'm always helping you with this and that and the other thing. Www...what about me, Rick? Www... why can't you just help me out once, once, for once? Morty, that's such a poor use of my time, it's beneath me. Hand me the screwdriver. Hey, listen, Rick. You know how you said that, you know... love is a chemical and all that stuff from earlier?  Well, I was thinkn', you know, www... could you make some sort of chemical thing happen inside of Jessica's mind, you know, so where she falls in love with me and all that sort of thing, you know, like maybe make some sort of love potion or something? Morty, hand me that screwdriver, huh?  I'm almost finished making my ionic defibulizer, Morty. It's gonna be great. Yeah, I'm just going to...check on your mom. "
156,"A hair, Morty, I need one of your hairs! This isn't Game Of Thrones.","Oh well, okay... It's a, it's a rodent that mates for life, Morty. This is the chemical release in the mammal's brain,  ...that makes it fall in love. Alright Morty, I just gotta  combine it with some of your DNA. You're growing up fast, Morty. You're growing into a real big thorn straight up into my ass!  Listen, this is called oxytocin. I extracted it from a vole. You know what a VOLE is, Morty, you know what a vole is? YOU KNOW WHAT, NO RICK! I'M NOT GONNA HAND YOU THE SCREWDRIVER! Uh, I'm never gonna hand you anything ever again, Rick.  I'm always helping you with this and that and the other thing. Www...what about me, Rick? Www... why can't you just help me out once, once, for once? Morty, that's such a poor use of my time, it's beneath me. Hand me the screwdriver. Hey, listen, Rick. You know how you said that, you know... love is a chemical and all that stuff from earlier?  Well, I was thinkn', you know, www... could you make some sort of chemical thing happen inside of Jessica's mind, you know, so where she falls in love with me and all that sort of thing, you know, like maybe make some sort of love potion or something? "
